match_id,date,ground,home team,home score,away team,away score,goalscorer(s)
1,2008-01-01,Old Trafford,Man United,1,Birmingham,0,['Carlos Tevez']
2,2008-11-01,Old Trafford,Man United,4,Hull,3,"['Cristiano Ronaldo (x2)', 'Nemanja Vidic', 'Michael Carrick', 'Daniel Cousin', 'Bernard Mendy', 'Geovanni']"
3,2016-01-19,Villa Park,Aston Villa,2,Wycombe,0,"['Cieran Clark', 'Idrissa Gana Gueye']"
4,2017-05-11,Old Trafford,Man United,1,Celta Vigo,1,"['Marounne Fellaini', 'Facundo Roncaglia']"
5,2017-12-14,Old Trafford,Man United,1,Bournemouth,0,['Romelu Lukaku']
6,2019-10-10,Old Trafford,Man United,3,Brighton,1,"['Andreas Pereira', 'Scott McTominay', 'Lewis Dunk', 'Marcus Rashford']"
7,2019-12-01,Old Trafford,Man United,2,Aston Villa,2,"['Jack Grealish', 'Tom Heaton (og)', 'Victor Lindelof', 'Tyrone Mings']"
8,2019-12-14,King Power Stadium,Leicester,1,Norwich,1,"['Teemu Pukki', 'Tim Krul (og)']"
9,2020-02-24,Old Trafford,Man United,3,Watford,0,"['Bruno Fernandes', 'Antony Martial', 'Mason Greenwood']"
10,2021-12-11,Carrow Road,Norwich,0,Man United,1,['Cristiano Ronaldo']
11,2022-02-05,Molineax,Wolves,0,Norwich,1,['Kenny McLean']
12,2022-04-30,Villa Park,Aston Villa,2,Norwich,0,"['Ollie Watkins', 'Danny Ings']"
13,2022-05-15,Molineax,Wolves,1,Norwich,1,"['Teemu Pukki', 'Rayan Ait-Nouri']"
14,2022-11-11,Old Trafford,Man United,4,Aston Villa,2,"['Ollie Watkins', 'Antony Martial', 'Diogo Dalot (og)', 'Marcus Rashford', 'Bruno Fernandes', 'Scott McTominay']"
15,2023-04-29,Hawthorns,West Brown,2,Norwich,1,"['Josh Sargent', 'Connor Townsend', 'Jed Wallace']"
16,2023-09-03,Emirates Stadium,Arsenal,3,Man United,1,"['Marcus Rashford', 'Martin Odegaard', 'Declan Rice', 'Gabriel Jesus']"
17,2024-02-11,Olympic Stadium,West Ham,0,Arsenal,6,"['William Saliba', 'Bakayo Saka (x2)', 'Gabriel', 'Leandro Trossard', 'Declan Rice']"
18,2024-04-04,Stamford Bridge,Chelsea,4,Man United,3,"['Connor Gallagher', 'Cole Palmer (x3)', 'Alejandro Garnacho (x2)', 'Bruno Fernandes']"
19,2024-09-24,Stamford Bridge,Chelsea,5,Barrow,0,"['Christopher Nkunku (x3)', 'Pedro Neto', 'Paul Farman (og)']"
20,2025-10-25,Old Trafford,Man United,4,Brighton,2,"['Matheus Cunha', 'Casemiro', 'Bryan Mbeumo (x2)', 'Danny Welbeck', 'Charalampos Kostoulas']"
21,2025-12-15,Old Trafford,Man United,4,Bournemouth,4,"['Amad Diallo', 'Antoine Semenyo', 'Casemiro', 'Evanilson', 'Marcus Tavenier', 'Bruno Fernandes', 'Matheus Cunha', 'Eli Kroupi Junior']"
